inv_name,def_date,def_time,pac,meta_upload_date
wr01,06.03.20,00:00:00,0,20200306
wr01,06.03.20,00:05:00,0,20200306
wr01,06.03.20,00:10:00,0,20200306
wr01,06.03.20,00:15:00,0,20200306
wr01,06.03.20,00:20:00,0,20200306
wr01,06.03.20,00:25:00,0,20200306
wr01,06.03.20,00:30:00,0,20200306
wr01,06.03.20,00:35:00,0,20200306
wr01,06.03.20,00:40:00,0,20200306
wr01,06.03.20,00:45:00,0,20200306
wr01,06.03.20,00:50:00,0,20200306
wr01,06.03.20,00:55:00,0,20200306
wr01,06.03.20,01:00:00,0,20200306
wr01,06.03.20,01:05:00,0,20200306
wr01,06.03.20,01:10:00,0,20200306
wr01,06.03.20,01:15:00,0,20200306
wr01,06.03.20,01:20:00,0,20200306
wr01,06.03.20,01:25:00,0,20200306
wr01,06.03.20,01:30:00,0,20200306
wr01,06.03.20,01:35:00,0,20200306
wr01,06.03.20,01:40:00,0,20200306
wr01,06.03.20,01:45:00,0,20200306
wr01,06.03.20,01:50:00,0,20200306
wr01,06.03.20,01:55:00,0,20200306
wr01,06.03.20,02:00:00,0,20200306
wr01,06.03.20,02:05:00,0,20200306
wr01,06.03.20,02:10:00,0,20200306
wr01,06.03.20,02:15:00,0,20200306
wr01,06.03.20,02:20:00,0,20200306
wr01,06.03.20,02:25:00,0,20200306
wr01,06.03.20,02:30:00,0,20200306
wr01,06.03.20,02:35:00,0,20200306
wr01,06.03.20,02:40:00,0,20200306
wr01,06.03.20,02:45:00,0,20200306
wr01,06.03.20,02:50:00,0,20200306
wr01,06.03.20,02:55:00,0,20200306
wr01,06.03.20,03:00:00,0,20200306
wr01,06.03.20,03:05:00,0,20200306
wr01,06.03.20,03:10:00,0,20200306
wr01,06.03.20,03:15:00,0,20200306
wr01,06.03.20,03:20:00,0,20200306
wr01,06.03.20,03:25:00,0,20200306
wr01,06.03.20,03:30:00,0,20200306
wr01,06.03.20,03:35:00,0,20200306
wr01,06.03.20,03:40:00,0,20200306
wr01,06.03.20,03:45:00,0,20200306
wr01,06.03.20,03:50:00,0,20200306
wr01,06.03.20,03:55:00,0,20200306
wr01,06.03.20,04:00:00,0,20200306
wr01,06.03.20,04:05:00,0,20200306
wr01,06.03.20,04:10:00,0,20200306
wr01,06.03.20,04:15:00,0,20200306
wr01,06.03.20,04:20:00,0,20200306
wr01,06.03.20,04:25:00,0,20200306
wr01,06.03.20,04:30:00,0,20200306
wr01,06.03.20,04:35:00,0,20200306
wr01,06.03.20,04:40:00,0,20200306
wr01,06.03.20,04:45:00,0,20200306
wr01,06.03.20,04:50:00,0,20200306
wr01,06.03.20,04:55:00,0,20200306
wr01,06.03.20,05:00:00,0,20200306
wr01,06.03.20,05:05:00,0,20200306
wr01,06.03.20,05:10:00,0,20200306
wr01,06.03.20,05:15:00,0,20200306
wr01,06.03.20,05:20:00,0,20200306
wr01,06.03.20,05:25:00,0,20200306
wr01,06.03.20,05:30:00,0,20200306
wr01,06.03.20,05:35:00,0,20200306
wr01,06.03.20,05:40:00,0,20200306
wr01,06.03.20,05:45:00,0,20200306
wr01,06.03.20,05:50:00,0,20200306
wr01,06.03.20,05:55:00,0,20200306
wr01,06.03.20,06:00:00,0,20200306
wr01,06.03.20,06:05:00,0,20200306
wr01,06.03.20,06:10:00,0,20200306
wr01,06.03.20,06:15:00,0,20200306
wr01,06.03.20,06:20:00,0,20200306
wr01,06.03.20,06:25:00,0,20200306
wr01,06.03.20,06:30:00,0,20200306
wr01,06.03.20,06:35:00,0,20200306
wr01,06.03.20,06:40:00,0,20200306
wr01,06.03.20,06:45:00,0,20200306
wr01,06.03.20,06:50:00,0,20200306
wr01,06.03.20,06:55:00,0,20200306
wr01,06.03.20,07:00:00,0,20200306
wr01,06.03.20,07:05:00,26,20200306
wr01,06.03.20,07:10:00,38,20200306
wr01,06.03.20,07:15:00,52,20200306
wr01,06.03.20,07:20:00,63,20200306
wr01,06.03.20,07:25:00,60,20200306
wr01,06.03.20,07:30:00,90,20200306
wr01,06.03.20,07:35:00,127,20200306
wr01,06.03.20,07:40:00,242,20200306
wr01,06.03.20,07:45:00,489,20200306
wr01,06.03.20,07:50:00,531,20200306
wr01,06.03.20,07:55:00,571,20200306
wr01,06.03.20,08:00:00,578,20200306
wr01,06.03.20,08:05:00,550,20200306
wr01,06.03.20,08:10:00,591,20200306
wr01,06.03.20,08:15:00,618,20200306
wr01,06.03.20,08:20:00,802,20200306
wr01,06.03.20,08:25:00,1006,20200306
wr01,06.03.20,08:30:00,1196,20200306
wr01,06.03.20,08:35:00,867,20200306
wr01,06.03.20,08:40:00,796,20200306
wr01,06.03.20,08:45:00,962,20200306
wr01,06.03.20,08:50:00,1065,20200306
wr01,06.03.20,08:55:00,1073,20200306
wr01,06.03.20,09:00:00,1060,20200306
wr01,06.03.20,09:05:00,831,20200306
wr01,06.03.20,09:10:00,717,20200306
wr01,06.03.20,09:15:00,1045,20200306
wr01,06.03.20,09:20:00,1080,20200306
wr01,06.03.20,09:25:00,1040,20200306
wr01,06.03.20,09:30:00,1235,20200306
wr01,06.03.20,09:35:00,1658,20200306
wr01,06.03.20,09:40:00,1896,20200306
wr01,06.03.20,09:45:00,1428,20200306
wr01,06.03.20,09:50:00,1217,20200306
wr01,06.03.20,09:55:00,1573,20200306
wr01,06.03.20,10:00:00,1409,20200306
wr01,06.03.20,10:05:00,1882,20200306
wr01,06.03.20,10:10:00,1989,20200306
wr01,06.03.20,10:15:00,2069,20200306
wr01,06.03.20,10:20:00,2428,20200306
wr01,06.03.20,10:25:00,2751,20200306
wr01,06.03.20,10:30:00,2831,20200306
wr01,06.03.20,10:35:00,2964,20200306
wr01,06.03.20,10:40:00,2662,20200306
wr01,06.03.20,10:45:00,2181,20200306
wr01,06.03.20,10:50:00,2191,20200306
wr01,06.03.20,10:55:00,2953,20200306
wr01,06.03.20,11:00:00,3622,20200306
wr01,06.03.20,11:05:00,4893,20200306
wr01,06.03.20,11:10:00,4423,20200306
wr01,06.03.20,11:15:00,4075,20200306
wr01,06.03.20,11:20:00,3303,20200306
wr01,06.03.20,11:25:00,3506,20200306
wr01,06.03.20,11:30:00,3913,20200306
wr01,06.03.20,11:35:00,3302,20200306
wr01,06.03.20,11:40:00,3616,20200306
wr01,06.03.20,11:45:00,3801,20200306
wr01,06.03.20,11:50:00,4097,20200306
wr01,06.03.20,11:55:00,4214,20200306
wr01,06.03.20,12:00:00,3667,20200306
wr01,06.03.20,12:05:00,4122,20200306
wr01,06.03.20,12:10:00,4225,20200306
wr01,06.03.20,12:15:00,4336,20200306
wr01,06.03.20,12:20:00,4041,20200306
wr01,06.03.20,12:25:00,3510,20200306
wr01,06.03.20,12:30:00,3570,20200306
wr01,06.03.20,12:35:00,4228,20200306
wr01,06.03.20,12:40:00,4582,20200306
wr01,06.03.20,12:45:00,4631,20200306
wr01,06.03.20,12:50:00,4373,20200306
wr01,06.03.20,12:55:00,4120,20200306
wr01,06.03.20,13:00:00,4187,20200306
wr01,06.03.20,13:05:00,4290,20200306
wr01,06.03.20,13:10:00,5741,20200306
wr01,06.03.20,13:15:00,7486,20200306
wr01,06.03.20,13:20:00,6572,20200306
wr01,06.03.20,13:25:00,6499,20200306
wr01,06.03.20,13:30:00,5841,20200306
wr01,06.03.20,13:35:00,5187,20200306
wr01,06.03.20,13:40:00,4385,20200306
wr01,06.03.20,13:45:00,4266,20200306
wr01,06.03.20,13:50:00,4886,20200306
wr01,06.03.20,13:55:00,4687,20200306
wr01,06.03.20,14:00:00,5000,20200306
wr01,06.03.20,14:05:00,6601,20200306
wr01,06.03.20,14:10:00,5231,20200306
wr01,06.03.20,14:15:00,3134,20200306
wr01,06.03.20,14:20:00,3083,20200306
wr01,06.03.20,14:25:00,3144,20200306
wr01,06.03.20,14:30:00,3465,20200306
wr01,06.03.20,14:35:00,3582,20200306
wr01,06.03.20,14:40:00,2925,20200306
wr01,06.03.20,14:45:00,2709,20200306
wr01,06.03.20,14:50:00,2317,20200306
wr01,06.03.20,14:55:00,2168,20200306
wr01,06.03.20,15:00:00,1922,20200306
wr01,06.03.20,15:05:00,1642,20200306
wr01,06.03.20,15:10:00,1596,20200306
