inv_name,def_date,def_time,pac,meta_upload_date,p_ges,p_gues
wr06,02.03.20,05:10:00,0,20200302,0.0,0.0
wr06,02.03.20,05:15:00,0,20200302,0.0,0.0
wr06,02.03.20,05:20:00,0,20200302,0.0,0.0
wr06,02.03.20,05:25:00,0,20200302,0.0,0.0
wr06,02.03.20,05:30:00,0,20200302,0.0,0.0
wr06,02.03.20,05:35:00,0,20200302,0.0,0.0
wr06,02.03.20,05:40:00,0,20200302,0.0,0.0
wr06,02.03.20,05:45:00,0,20200302,0.0,0.0
wr06,02.03.20,05:50:00,0,20200302,0.0,0.0
wr06,02.03.20,05:55:00,0,20200302,0.0,0.0
wr06,02.03.20,06:00:00,0,20200302,0.0,0.0
wr06,02.03.20,06:05:00,0,20200302,0.0,0.0
wr06,02.03.20,06:10:00,0,20200302,0.0,0.0
wr06,02.03.20,06:15:00,0,20200302,0.0,0.0
wr06,02.03.20,06:20:00,0,20200302,0.0,0.0
wr06,02.03.20,06:25:00,0,20200302,0.0,0.0
wr06,02.03.20,06:30:00,0,20200302,0.0,0.0
wr06,02.03.20,06:35:00,0,20200302,0.0,0.0
wr06,02.03.20,06:40:00,0,20200302,0.0,0.0
wr06,02.03.20,06:45:00,0,20200302,0.0,0.0
wr06,02.03.20,06:50:00,0,20200302,13.157533333333333,13.157533333333333
wr06,02.03.20,06:55:00,0,20200302,26.315066666666667,26.315066666666667
wr06,02.03.20,07:00:00,18,20200302,52.63013333333333,52.63013333333333
wr06,02.03.20,07:05:00,67,20200302,98.6815,98.6815
wr06,02.03.20,07:10:00,138,20200302,177.6267,177.6267
wr06,02.03.20,07:15:00,204,20200302,236.83560000000003,236.83560000000003
wr06,02.03.20,07:20:00,187,20200302,210.52053333333333,210.52053333333333
wr06,02.03.20,07:25:00,193,20200302,217.0993,217.0993
wr06,02.03.20,07:30:00,298,20200302,328.93833333333333,328.93833333333333
wr06,02.03.20,07:35:00,472,20200302,487.88705666666664,487.88705666666664
wr06,02.03.20,07:40:00,497,20200302,508.76748999999995,508.76748999999995
wr06,02.03.20,07:45:00,422,20200302,422.87167999999997,422.87167999999997
wr06,02.03.20,07:50:00,438,20200302,436.08642000000003,436.08642000000003
wr06,02.03.20,07:55:00,566,20200302,561.62645,561.62645
wr06,02.03.20,08:00:00,820,20200302,806.09914,806.09914
wr06,02.03.20,08:05:00,1014,20200302,973.385735,973.385735
wr06,02.03.20,08:10:00,1011,20200302,962.2161333333331,962.2161333333331
wr06,02.03.20,08:15:00,966,20200302,915.7643199999999,915.7643199999999
wr06,02.03.20,08:20:00,974,20200302,922.4002933333333,922.4002933333333
wr06,02.03.20,08:25:00,1091,20200302,1035.21184,1035.21184
wr06,02.03.20,08:30:00,1257,20200302,1207.7471466666666,1207.7471466666666
wr06,02.03.20,08:35:00,1489,20200302,1446.6421866666665,1446.6421866666665
